record_id,department,defect_type,corridor_id,severity,days_overdue,asset_age_years,days_since_last_inspection,previous_failure_count,traffic_density_rank,corridor_utilization_pct,maintenance_duration_mins,weather_risk_factor,failure_risk_probability,failure_risk_class,dataset_type
RS-ML-10152,TDMS,NEUTRAL_SECTION_ARCING,HWH-MGS-03,3,0.0,20.9,275,1,4,60.3,120,0.22,0.4636,HIGH,RailSync synthetic prototype training data
RS-ML-10153,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,3,0.0,35.6,11,0,5,42.0,30,0.27,0.2894,MEDIUM,RailSync synthetic prototype training data
RS-ML-10154,TMS,USFD_MICRO_CRACK,NDLS-CNB-07,2,0.9,28.8,31,0,5,58.7,150,0.26,0.3521,MEDIUM,RailSync synthetic prototype training data
RS-ML-10155,SMMS,CABLE_INSULATION_LOW,CNB-MGS-01,2,3.4,21.4,305,4,4,72.5,30,0.93,0.5231,HIGH,RailSync synthetic prototype training data
RS-ML-10156,TDMS,MAST_EARTHING_LOOSE,CNB-MGS-01,3,2.2,15.8,156,1,2,57.6,60,0.78,0.4258,HIGH,RailSync synthetic prototype training data
RS-ML-10157,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,2,6.6,10.1,172,2,1,71.3,90,0.1,0.3651,MEDIUM,RailSync synthetic prototype training data
RS-ML-10158,TMS,TURNOUT_WEAR,NDLS-HWH-01,3,2.3,7.6,303,2,3,57.7,30,0.24,0.5069,HIGH,RailSync synthetic prototype training data
RS-ML-10159,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-CNB-07,3,5.2,26.9,206,4,4,67.3,150,0.33,0.6732,CRITICAL,RailSync synthetic prototype training data
RS-ML-10160,TMS,USFD_MICRO_CRACK,HWH-MGS-03,1,0.0,37.3,243,3,2,61.7,180,0.09,0.4152,HIGH,RailSync synthetic prototype training data
RS-ML-10161,TMS,SEJ_GAP_ABNORMAL,HWH-MGS-03,2,2.4,7.9,120,1,3,55.1,240,0.92,0.3196,MEDIUM,RailSync synthetic prototype training data
RS-ML-10162,SMMS,POWER_SUPPLY_FLUCTUATION,HWH-MGS-03,1,0.7,30.3,89,0,5,97.9,30,0.52,0.2915,MEDIUM,RailSync synthetic prototype training data
RS-ML-10163,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,4,0.0,32.1,121,0,2,69.6,150,0.1,0.3602,MEDIUM,RailSync synthetic prototype training data
RS-ML-10164,SMMS,EARTH_LEAKAGE,HWH-MGS-03,3,0.0,1.1,275,1,5,82.2,120,0.07,0.4644,HIGH,RailSync synthetic prototype training data
RS-ML-10165,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,5,5.9,20.2,126,0,3,86.5,45,0.39,0.5087,HIGH,RailSync synthetic prototype training data
RS-ML-10166,TMS,TURNOUT_WEAR,NDLS-CNB-07,4,0.0,9.0,353,3,1,45.5,180,0.39,0.479,HIGH,RailSync synthetic prototype training data
RS-ML-10167,SMMS,INTERLOCKING_CIRCUIT_FAULT,HWH-MGS-03,5,0.4,24.7,172,1,5,93.8,90,0.24,0.6042,CRITICAL,RailSync synthetic prototype training data
RS-ML-10168,TDMS,FEEDER_BREAKER_TRIP,CNB-MGS-01,1,0.1,3.3,146,4,3,40.9,90,0.58,0.329,MEDIUM,RailSync synthetic prototype training data
RS-ML-10169,TMS,TRACK_TWIST,CNB-MGS-01,3,1.7,9.5,202,2,2,86.2,45,0.5,0.4386,HIGH,RailSync synthetic prototype training data
RS-ML-10170,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,4,3.2,32.0,177,2,3,41.7,120,0.76,0.5238,HIGH,RailSync synthetic prototype training data
RS-ML-10171,SMMS,CABLE_INSULATION_LOW,HWH-MGS-03,1,5.6,22.5,197,0,1,44.8,60,0.39,0.2595,MEDIUM,RailSync synthetic prototype training data
RS-ML-10172,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,HWH-MGS-03,4,5.0,4.5,5,5,1,47.8,60,0.44,0.4835,HIGH,RailSync synthetic prototype training data
RS-ML-10173,TMS,TRACK_TWIST,CNB-MGS-01,4,0.0,22.9,169,4,4,62.7,45,0.7,0.6232,CRITICAL,RailSync synthetic prototype training data
RS-ML-10174,SMMS,SIGNAL_LAMP_FUSED,NDLS-CNB-07,3,0.2,6.9,140,0,4,56.1,120,0.49,0.362,MEDIUM,RailSync synthetic prototype training data
RS-ML-10175,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,2,0.0,7.8,57,0,4,59.4,180,0.77,0.2818,MEDIUM,RailSync synthetic prototype training data
RS-ML-10176,TMS,FISHPLATE_CRACK,HWH-MGS-03,3,0.0,32.7,307,0,2,68.0,60,0.92,0.4593,HIGH,RailSync synthetic prototype training data
RS-ML-10177,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-CNB-07,2,0.8,11.0,204,1,5,50.5,30,0.91,0.3922,HIGH,RailSync synthetic prototype training data
RS-ML-10178,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,3,1.8,31.7,38,3,4,48.1,120,0.27,0.4176,HIGH,RailSync synthetic prototype training data
RS-ML-10179,TDMS,CANTILEVER_INSULATOR_FLASH,HWH-MGS-03,4,7.1,18.5,208,1,4,71.8,150,0.68,0.5593,HIGH,RailSync synthetic prototype training data
RS-ML-10180,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-HWH-01,3,2.9,25.2,184,0,4,96.6,150,0.92,0.4694,HIGH,RailSync synthetic prototype training data
RS-ML-10181,TMS,SEJ_GAP_ABNORMAL,NDLS-CNB-07,2,1.5,15.2,350,1,1,68.2,120,0.42,0.3643,MEDIUM,RailSync synthetic prototype training data
RS-ML-10182,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,2,0.0,13.4,108,1,1,65.6,240,0.34,0.2214,MEDIUM,RailSync synthetic prototype training data
RS-ML-10183,TMS,FISHPLATE_CRACK,NDLS-HWH-01,3,1.4,6.7,127,1,4,96.1,90,0.77,0.5165,HIGH,RailSync synthetic prototype training data
RS-ML-10184,SMMS,AXLE_COUNTER_RESET,HWH-MGS-03,2,0.0,28.2,104,1,2,52.0,45,0.57,0.2941,MEDIUM,RailSync synthetic prototype training data
RS-ML-10185,TMS,SLEEPER_LOOSENING,HWH-MGS-03,1,3.2,25.7,253,1,5,63.0,45,0.36,0.3688,MEDIUM,RailSync synthetic prototype training data
RS-ML-10186,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,CNB-MGS-01,5,0.0,22.6,347,0,3,46.8,150,0.67,0.4774,HIGH,RailSync synthetic prototype training data
RS-ML-10187,TMS,BALLAST_DEFICIENCY,HWH-MGS-03,1,0.7,24.3,358,4,2,68.6,60,0.22,0.4269,HIGH,RailSync synthetic prototype training data
RS-ML-10188,TDMS,OHE_DROPPER_SNAP,CNB-MGS-01,5,2.5,18.7,102,3,4,63.9,240,0.42,0.63,CRITICAL,RailSync synthetic prototype training data
RS-ML-10189,TMS,WELD_FRACTURE,NDLS-CNB-07,4,2.9,10.8,278,0,4,72.2,45,0.57,0.5071,HIGH,RailSync synthetic prototype training data
RS-ML-10190,TMS,SEJ_GAP_ABNORMAL,CNB-MGS-01,2,0.4,28.9,228,1,2,57.4,30,0.45,0.3381,MEDIUM,RailSync synthetic prototype training data
RS-ML-10191,TMS,TRACK_TWIST,NDLS-CNB-07,4,3.5,28.2,355,1,2,76.0,90,0.78,0.6252,CRITICAL,RailSync synthetic prototype training data
RS-ML-10192,TDMS,CONTACT_WIRE_WEAR,CNB-MGS-01,2,0.0,6.8,152,0,5,97.7,45,0.17,0.3157,MEDIUM,RailSync synthetic prototype training data
RS-ML-10193,TMS,GAUGE_CORRECTION,NDLS-CNB-07,3,5.0,5.5,77,2,4,68.6,120,0.62,0.4584,HIGH,RailSync synthetic prototype training data
RS-ML-10194,TMS,TRACK_TWIST,NDLS-HWH-01,4,0.0,28.6,358,5,4,59.1,30,0.83,0.729,CRITICAL,RailSync synthetic prototype training data
RS-ML-10195,TDMS,CONTACT_WIRE_WEAR,NDLS-HWH-01,3,1.4,15.4,222,3,3,59.8,60,0.56,0.4952,HIGH,RailSync synthetic prototype training data
RS-ML-10196,SMMS,RELAY_CHATTER,NDLS-HWH-01,1,0.6,24.0,238,0,4,40.0,180,0.23,0.2522,MEDIUM,RailSync synthetic prototype training data
RS-ML-10197,SMMS,AXLE_COUNTER_RESET,CNB-MGS-01,1,0.6,14.0,45,1,4,76.6,90,0.44,0.2215,MEDIUM,RailSync synthetic prototype training data
RS-ML-10198,TMS,TRACK_TWIST,NDLS-HWH-01,4,0.0,3.4,306,0,3,87.8,180,0.67,0.4691,HIGH,RailSync synthetic prototype training data
RS-ML-10199,TMS,TRACK_TWIST,NDLS-HWH-01,4,7.3,33.5,73,1,2,44.0,30,0.6,0.5143,HIGH,RailSync synthetic prototype training data
RS-ML-10200,TMS,FISHPLATE_CRACK,NDLS-CNB-07,3,0.9,6.2,213,2,1,48.2,45,0.58,0.3655,MEDIUM,RailSync synthetic prototype training data
RS-ML-10201,TMS,RAIL_CORRUGATION,NDLS-CNB-07,2,1.2,3.7,286,2,1,89.6,120,0.23,0.4475,HIGH,RailSync synthetic prototype training data
RS-ML-10202,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,2,0.0,2.5,125,1,4,77.3,45,0.53,0.4119,HIGH,RailSync synthetic prototype training data
RS-ML-10203,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,HWH-MGS-03,5,0.0,21.8,190,1,4,95.8,45,0.07,0.5492,HIGH,RailSync synthetic prototype training data
RS-ML-10204,TMS,GAUGE_CORRECTION,NDLS-CNB-07,1,2.4,2.8,206,1,4,64.8,180,0.12,0.2777,MEDIUM,RailSync synthetic prototype training data
RS-ML-10205,TMS,GAUGE_CORRECTION,NDLS-HWH-01,2,0.0,8.1,82,1,1,58.1,180,0.71,0.2503,MEDIUM,RailSync synthetic prototype training data
RS-ML-10206,TDMS,OHE_DROPPER_SNAP,NDLS-CNB-07,3,0.0,16.8,235,2,2,47.0,60,0.68,0.4677,HIGH,RailSync synthetic prototype training data
RS-ML-10207,SMMS,TRACK_CIRCUIT_DROP,NDLS-CNB-07,2,0.0,28.6,140,2,1,59.6,180,0.29,0.3784,MEDIUM,RailSync synthetic prototype training data
RS-ML-10208,TMS,LC_FLANGEWAY_CLEAN,NDLS-HWH-01,2,1.6,19.7,31,1,3,85.2,45,0.26,0.3049,MEDIUM,RailSync synthetic prototype training data
RS-ML-10209,TDMS,CATENARY_TENSION_LOW,NDLS-HWH-01,2,0.1,14.9,79,0,4,53.1,90,0.42,0.238,MEDIUM,RailSync synthetic prototype training data
RS-ML-10210,SMMS,TRACK_CIRCUIT_DROP,NDLS-HWH-01,2,0.0,5.0,347,4,5,97.4,180,0.11,0.5003,HIGH,RailSync synthetic prototype training data
RS-ML-10211,TDMS,CONTACT_WIRE_WEAR,NDLS-HWH-01,2,4.7,0.8,105,0,2,67.1,240,0.95,0.2988,MEDIUM,RailSync synthetic prototype training data
RS-ML-10212,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,1,0.0,35.5,15,0,1,95.6,30,0.73,0.129,LOW,RailSync synthetic prototype training data
RS-ML-10213,TMS,SLEEPER_LOOSENING,NDLS-CNB-07,2,0.0,36.5,75,2,2,92.5,180,0.68,0.4191,HIGH,RailSync synthetic prototype training data
RS-ML-10214,TMS,LC_FLANGEWAY_CLEAN,NDLS-HWH-01,2,0.0,19.5,329,3,5,43.6,60,0.26,0.4742,HIGH,RailSync synthetic prototype training data
RS-ML-10215,TDMS,CONTACT_WIRE_WEAR,CNB-MGS-01,2,0.4,9.3,106,0,1,49.6,240,0.33,0.2069,LOW,RailSync synthetic prototype training data
RS-ML-10216,TMS,FISHPLATE_CRACK,NDLS-CNB-07,2,1.3,17.9,64,0,5,42.4,150,0.18,0.2584,MEDIUM,RailSync synthetic prototype training data
RS-ML-10217,TMS,WELD_FRACTURE,CNB-MGS-01,4,2.8,37.7,18,5,5,54.6,240,0.14,0.5622,CRITICAL,RailSync synthetic prototype training data
RS-ML-10218,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-HWH-01,1,1.6,29.8,116,0,1,74.1,120,0.88,0.3055,MEDIUM,RailSync synthetic prototype training data
RS-ML-10219,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,3,0.2,3.9,172,0,5,65.3,180,0.5,0.4504,HIGH,RailSync synthetic prototype training data
RS-ML-10220,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,2,0.1,34.6,143,0,5,76.1,120,0.5,0.3975,HIGH,RailSync synthetic prototype training data
RS-ML-10221,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,2,2.7,24.6,272,0,1,97.9,150,0.48,0.3594,MEDIUM,RailSync synthetic prototype training data
RS-ML-10222,TDMS,CONTACT_WIRE_WEAR,CNB-MGS-01,2,0.0,7.2,166,1,3,43.4,240,0.53,0.2994,MEDIUM,RailSync synthetic prototype training data
RS-ML-10223,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,3,3.0,10.5,31,3,4,60.8,60,0.21,0.3104,MEDIUM,RailSync synthetic prototype training data
RS-ML-10224,SMMS,RELAY_CHATTER,NDLS-HWH-01,3,0.7,13.7,293,1,4,71.7,60,0.49,0.4807,HIGH,RailSync synthetic prototype training data
RS-ML-10225,TMS,SEJ_GAP_ABNORMAL,HWH-MGS-03,1,0.0,34.9,106,3,2,93.7,150,0.1,0.3571,MEDIUM,RailSync synthetic prototype training data
RS-ML-10226,TMS,LC_FLANGEWAY_CLEAN,NDLS-CNB-07,3,0.0,32.2,189,6,4,74.3,150,0.32,0.6365,CRITICAL,RailSync synthetic prototype training data
RS-ML-10227,TDMS,FEEDER_BREAKER_TRIP,CNB-MGS-01,1,1.5,36.8,358,4,5,87.6,180,0.33,0.5227,HIGH,RailSync synthetic prototype training data
RS-ML-10228,SMMS,AXLE_COUNTER_RESET,NDLS-CNB-07,3,11.8,36.1,296,1,1,50.7,150,0.88,0.5923,CRITICAL,RailSync synthetic prototype training data
RS-ML-10229,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-CNB-07,2,0.0,3.4,180,7,1,88.1,150,0.45,0.4556,HIGH,RailSync synthetic prototype training data
RS-ML-10230,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,2,1.9,30.0,3,0,2,91.7,240,0.84,0.2748,MEDIUM,RailSync synthetic prototype training data
RS-ML-10231,TDMS,CATENARY_TENSION_LOW,NDLS-CNB-07,2,0.0,30.5,20,0,1,44.3,60,0.85,0.2033,LOW,RailSync synthetic prototype training data
RS-ML-10232,TMS,TRACK_TWIST,NDLS-HWH-01,4,3.7,37.4,250,2,5,92.1,60,0.1,0.6368,CRITICAL,RailSync synthetic prototype training data
RS-ML-10233,TMS,SEJ_GAP_ABNORMAL,CNB-MGS-01,3,6.4,11.7,52,0,2,43.2,30,0.43,0.4185,HIGH,RailSync synthetic prototype training data
RS-ML-10234,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,1,2.2,1.5,90,2,1,58.0,180,0.47,0.2653,MEDIUM,RailSync synthetic prototype training data
RS-ML-10235,SMMS,CABLE_INSULATION_LOW,NDLS-CNB-07,2,0.0,14.8,98,1,4,55.4,120,0.56,0.2915,MEDIUM,RailSync synthetic prototype training data
RS-ML-10236,TMS,LC_FLANGEWAY_CLEAN,NDLS-HWH-01,1,0.9,13.4,280,1,1,89.2,180,0.92,0.3064,MEDIUM,RailSync synthetic prototype training data
RS-ML-10237,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,2,5.6,15.3,20,1,5,48.6,240,0.21,0.2702,MEDIUM,RailSync synthetic prototype training data
RS-ML-10238,TDMS,CATENARY_TENSION_LOW,NDLS-CNB-07,1,3.5,16.4,352,1,5,55.1,45,0.13,0.3114,MEDIUM,RailSync synthetic prototype training data
RS-ML-10239,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,4,0.4,1.0,322,1,2,48.7,45,0.88,0.4409,HIGH,RailSync synthetic prototype training data
RS-ML-10240,SMMS,INTERLOCKING_CIRCUIT_FAULT,CNB-MGS-01,5,3.0,33.5,213,0,4,42.2,120,0.41,0.5263,HIGH,RailSync synthetic prototype training data
RS-ML-10241,TMS,BALLAST_DEFICIENCY,CNB-MGS-01,3,0.1,2.3,246,5,3,58.2,240,0.82,0.5727,CRITICAL,RailSync synthetic prototype training data
RS-ML-10242,SMMS,SIGNAL_LAMP_FUSED,NDLS-CNB-07,2,3.6,28.4,167,0,2,65.8,180,0.72,0.3457,MEDIUM,RailSync synthetic prototype training data
RS-ML-10243,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,1,7.4,27.1,209,0,1,50.2,90,0.8,0.2435,MEDIUM,RailSync synthetic prototype training data
RS-ML-10244,TMS,USFD_MICRO_CRACK,NDLS-HWH-01,4,1.8,26.9,143,1,1,79.8,90,0.39,0.457,HIGH,RailSync synthetic prototype training data
RS-ML-10245,TDMS,ISOLATOR_SWITCH_JAM,CNB-MGS-01,2,1.2,31.9,135,2,4,42.9,90,0.82,0.3813,HIGH,RailSync synthetic prototype training data
RS-ML-10246,SMMS,SIGNAL_LAMP_FUSED,CNB-MGS-01,3,3.6,19.7,352,0,5,86.9,90,0.28,0.5005,HIGH,RailSync synthetic prototype training data
RS-ML-10247,TDMS,NEUTRAL_SECTION_ARCING,HWH-MGS-03,3,4.0,32.4,238,0,5,63.2,45,0.06,0.443,HIGH,RailSync synthetic prototype training data
RS-ML-10248,TDMS,CONTACT_WIRE_WEAR,CNB-MGS-01,2,0.0,4.6,35,0,3,90.4,120,0.64,0.2723,MEDIUM,RailSync synthetic prototype training data
RS-ML-10249,TMS,SEJ_GAP_ABNORMAL,NDLS-CNB-07,3,0.0,30.7,310,1,2,82.2,240,0.95,0.4752,HIGH,RailSync synthetic prototype training data
RS-ML-10250,TMS,BALLAST_DEFICIENCY,HWH-MGS-03,2,0.0,1.8,295,3,2,80.1,240,0.87,0.444,HIGH,RailSync synthetic prototype training data
RS-ML-10251,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,2,8.5,18.2,135,2,3,78.3,90,0.37,0.4299,HIGH,RailSync synthetic prototype training data
RS-ML-10252,SMMS,TRACK_CIRCUIT_DROP,HWH-MGS-03,3,0.4,12.9,136,1,1,90.7,45,0.47,0.3686,MEDIUM,RailSync synthetic prototype training data
RS-ML-10253,SMMS,DATA_LOGGER_FAIL,CNB-MGS-01,2,0.0,33.2,80,0,4,97.8,240,0.18,0.3175,MEDIUM,RailSync synthetic prototype training data
RS-ML-10254,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,4,0.0,24.2,93,0,4,56.0,60,0.57,0.4249,HIGH,RailSync synthetic prototype training data
RS-ML-10255,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,HWH-MGS-03,4,0.0,15.6,247,1,2,82.7,30,0.85,0.5438,HIGH,RailSync synthetic prototype training data
RS-ML-10256,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,1,1.3,0.7,130,0,1,62.4,120,0.2,0.1463,LOW,RailSync synthetic prototype training data
RS-ML-10257,TMS,LC_FLANGEWAY_CLEAN,CNB-MGS-01,2,1.6,26.3,71,0,2,49.6,180,0.07,0.2145,LOW,RailSync synthetic prototype training data
RS-ML-10258,TMS,RAIL_CORRUGATION,NDLS-CNB-07,3,5.5,22.6,89,0,4,91.3,120,0.74,0.443,HIGH,RailSync synthetic prototype training data
RS-ML-10259,TMS,TRACK_TWIST,NDLS-HWH-01,3,2.3,4.8,230,1,2,52.0,30,0.32,0.3904,HIGH,RailSync synthetic prototype training data
RS-ML-10260,SMMS,DATA_LOGGER_FAIL,CNB-MGS-01,3,0.0,26.8,217,3,5,46.9,45,0.76,0.5058,HIGH,RailSync synthetic prototype training data
RS-ML-10261,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,2,0.8,15.9,85,0,4,59.3,30,0.06,0.2405,MEDIUM,RailSync synthetic prototype training data
RS-ML-10262,TMS,TRACK_TWIST,HWH-MGS-03,3,8.2,3.9,264,0,2,66.7,120,0.29,0.5238,HIGH,RailSync synthetic prototype training data
RS-ML-10263,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,3,0.2,12.2,62,0,2,78.8,60,0.35,0.2921,MEDIUM,RailSync synthetic prototype training data
RS-ML-10264,TDMS,NEUTRAL_SECTION_ARCING,NDLS-HWH-01,2,1.1,13.4,61,1,4,80.4,240,0.77,0.2935,MEDIUM,RailSync synthetic prototype training data
RS-ML-10265,TMS,LC_FLANGEWAY_CLEAN,NDLS-HWH-01,4,5.7,32.2,56,1,4,50.6,180,0.75,0.4915,HIGH,RailSync synthetic prototype training data
RS-ML-10266,SMMS,AXLE_COUNTER_RESET,HWH-MGS-03,4,0.0,4.7,213,1,3,40.7,90,0.93,0.4514,HIGH,RailSync synthetic prototype training data
RS-ML-10267,SMMS,EARTH_LEAKAGE,NDLS-HWH-01,2,1.7,27.7,249,0,5,92.2,30,0.06,0.3828,HIGH,RailSync synthetic prototype training data
RS-ML-10268,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,3,0.0,33.1,41,3,3,96.8,30,0.51,0.4264,HIGH,RailSync synthetic prototype training data
RS-ML-10269,TDMS,CANTILEVER_INSULATOR_FLASH,HWH-MGS-03,2,0.4,22.0,48,4,4,83.6,30,0.14,0.4031,HIGH,RailSync synthetic prototype training data
RS-ML-10270,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,3,2.9,30.2,319,2,4,95.6,150,0.79,0.6336,CRITICAL,RailSync synthetic prototype training data
RS-ML-10271,TMS,TURNOUT_WEAR,HWH-MGS-03,3,0.9,14.1,234,0,3,60.8,120,0.54,0.3611,MEDIUM,RailSync synthetic prototype training data
RS-ML-10272,TMS,TRACK_TWIST,NDLS-HWH-01,5,0.7,19.0,212,0,4,52.6,90,0.7,0.5805,CRITICAL,RailSync synthetic prototype training data
RS-ML-10273,TDMS,CANTILEVER_INSULATOR_FLASH,HWH-MGS-03,2,2.6,22.6,261,0,1,72.4,180,0.8,0.3585,MEDIUM,RailSync synthetic prototype training data
RS-ML-10274,SMMS,DATA_LOGGER_FAIL,NDLS-CNB-07,3,3.3,7.0,68,0,3,69.5,180,0.43,0.3005,MEDIUM,RailSync synthetic prototype training data
RS-ML-10275,TMS,BALLAST_DEFICIENCY,CNB-MGS-01,4,7.6,17.5,71,0,5,57.5,150,0.69,0.5029,HIGH,RailSync synthetic prototype training data
RS-ML-10276,TDMS,CATENARY_TENSION_LOW,NDLS-CNB-07,1,13.9,27.3,354,0,2,69.5,150,0.69,0.4394,HIGH,RailSync synthetic prototype training data
RS-ML-10277,SMMS,CABLE_INSULATION_LOW,CNB-MGS-01,3,0.0,16.3,9,1,2,43.1,30,0.23,0.221,MEDIUM,RailSync synthetic prototype training data
RS-ML-10278,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,CNB-MGS-01,5,0.0,6.0,34,2,5,41.9,240,0.14,0.5066,HIGH,RailSync synthetic prototype training data
RS-ML-10279,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,1,9.1,29.9,359,0,4,64.4,150,0.92,0.3885,HIGH,RailSync synthetic prototype training data
RS-ML-10280,TMS,LC_FLANGEWAY_CLEAN,CNB-MGS-01,1,4.3,33.1,229,3,3,84.2,90,0.75,0.5273,HIGH,RailSync synthetic prototype training data
RS-ML-10281,TMS,DRAINAGE_CLEARANCE,NDLS-HWH-01,1,0.0,7.0,266,0,3,72.6,60,0.19,0.2553,MEDIUM,RailSync synthetic prototype training data
RS-ML-10282,TDMS,OHE_DROPPER_SNAP,CNB-MGS-01,4,0.0,35.7,23,0,1,85.3,120,0.49,0.3156,MEDIUM,RailSync synthetic prototype training data
RS-ML-10283,TDMS,CONTACT_WIRE_WEAR,NDLS-CNB-07,4,1.8,20.0,261,0,3,52.9,90,0.65,0.4561,HIGH,RailSync synthetic prototype training data
RS-ML-10284,TMS,GAUGE_CORRECTION,NDLS-CNB-07,4,13.9,23.7,246,7,1,46.7,150,0.45,0.8367,CRITICAL,RailSync synthetic prototype training data
RS-ML-10285,SMMS,POINT_MACHINE_FAILURE,CNB-MGS-01,4,1.2,30.4,61,1,5,88.1,150,0.51,0.4792,HIGH,RailSync synthetic prototype training data
RS-ML-10286,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,2,0.6,24.9,167,1,5,71.2,45,0.24,0.3663,MEDIUM,RailSync synthetic prototype training data
RS-ML-10287,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-CNB-07,4,4.8,26.9,225,2,2,41.4,150,0.08,0.5231,HIGH,RailSync synthetic prototype training data
RS-ML-10288,TMS,RAIL_CORRUGATION,CNB-MGS-01,2,2.1,22.1,119,4,4,65.3,30,0.4,0.4968,HIGH,RailSync synthetic prototype training data
RS-ML-10289,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-HWH-01,5,1.3,3.2,260,0,1,56.5,240,0.39,0.4689,HIGH,RailSync synthetic prototype training data
RS-ML-10290,TDMS,OHE_DROPPER_SNAP,HWH-MGS-03,3,1.2,8.7,203,3,2,57.4,150,0.91,0.5417,HIGH,RailSync synthetic prototype training data
RS-ML-10291,TMS,WELD_FRACTURE,NDLS-HWH-01,4,0.0,15.3,283,5,3,52.4,60,0.19,0.6503,CRITICAL,RailSync synthetic prototype training data
RS-ML-10292,TMS,GAUGE_CORRECTION,NDLS-CNB-07,1,9.4,25.7,293,4,5,67.0,45,0.31,0.6179,CRITICAL,RailSync synthetic prototype training data
RS-ML-10293,SMMS,POWER_SUPPLY_FLUCTUATION,CNB-MGS-01,2,8.1,25.7,123,0,3,68.4,150,0.6,0.3968,HIGH,RailSync synthetic prototype training data
RS-ML-10294,TMS,TURNOUT_WEAR,NDLS-CNB-07,2,0.0,14.2,164,5,3,54.4,90,0.69,0.4884,HIGH,RailSync synthetic prototype training data
RS-ML-10295,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,3,0.4,17.9,186,3,5,44.8,120,0.82,0.5276,HIGH,RailSync synthetic prototype training data
RS-ML-10296,TMS,SEJ_GAP_ABNORMAL,NDLS-CNB-07,2,6.6,33.7,42,2,1,87.5,180,0.74,0.4294,HIGH,RailSync synthetic prototype training data
RS-ML-10297,TMS,SEJ_GAP_ABNORMAL,HWH-MGS-03,3,4.6,6.1,203,0,3,47.8,45,0.41,0.4245,HIGH,RailSync synthetic prototype training data
RS-ML-10298,SMMS,SIGNAL_LAMP_FUSED,NDLS-CNB-07,3,3.8,5.8,84,0,2,83.1,240,0.9,0.4154,HIGH,RailSync synthetic prototype training data
RS-ML-10299,TMS,GAUGE_CORRECTION,CNB-MGS-01,1,0.0,25.6,268,4,4,93.7,30,0.09,0.493,HIGH,RailSync synthetic prototype training data
RS-ML-10300,SMMS,INTERLOCKING_CIRCUIT_FAULT,CNB-MGS-01,5,0.0,10.4,281,1,4,61.4,45,0.51,0.5233,HIGH,RailSync synthetic prototype training data
RS-ML-10301,SMMS,RELAY_CHATTER,CNB-MGS-01,2,2.0,18.6,312,0,2,44.5,120,0.24,0.3463,MEDIUM,RailSync synthetic prototype training data
RS-ML-10302,TMS,FISHPLATE_CRACK,NDLS-HWH-01,3,2.3,16.0,172,2,2,74.6,180,0.07,0.4914,HIGH,RailSync synthetic prototype training data
RS-ML-10303,TMS,DRAINAGE_CLEARANCE,NDLS-HWH-01,3,0.0,6.0,88,0,4,75.1,30,0.84,0.3791,MEDIUM,RailSync synthetic prototype training data
